RUA DUQUE DE CAXIAS	63	CENTRO	LORENA	SP	-22,7308196849	-45,119988534	Comércio e serviços	3630
ESTAÇÃO TREM SANTO ANDRE	0		S.ANDRE	SP	-23,651816	-46,528537	Outros	1415
RUA JOSÉ FERREIRA DE BRITO	0	RES MAURO MARCONDES	CAMPINAS	SP	-22,970006173	-47,168078006	Via pública	24607
RUA OSVALDO ARANHA	0	BAIRRO SILVEIRA	S.ANDRE	SP	-23,667650673	-46,511798504	Via pública	5710
RUA DOS PINHEIROS	1518		S.PAULO	SP	-23,5678732639	-46,6923382533	Outros	32555
RUA RIO NEGRO	48	VILA NITA	ITAQUAQUECETUBA	SP	-23,4727772909	-46,344344417	Outros	16298
AVENIDA HENRI NESTLÉ	309	PARQUE ANHANGUERA	RIBEIRAO PRETO	SP	-21,1933349136	-47,7542755813	Via pública	6890
RUA MATO GROSSO	123	VILA SANTA ROSA	MOCOCA	SP	-21,4648747037	-47,0152387719	Via pública	14590
RUA SOLDADO TEODORO FRANCISCO RIBEIRO	62	VILA MARIA	S.PAULO	SP	-23,516192089	-46,566305507	Outros	19184
RUA CAPITÃO TOMÁS RAMOS	718	SAO JOSE DA BELA VISTA	S.JOSE DA BELA VISTA	SP	-20,5938394153	-47,63718983	Via pública	11824
RUA JOAO FIOCHI	99		JANDIRA	SP	-23,537036178	-46,903899775	Via pública	33742
AVENIDA MIRASSOLÂNDIA	0	JARDIM MUGNAINI	S.JOSE DO RIO PRETO	SP	-20,78581082	-49,391704196	Via pública	36485
RUA CAPITAO MILITAO	115	AGUA RASA	S.PAULO	SP	-23,5767233181	-46,5614303388	Via pública	10252
AVENIDA GOVERNADOR MARIO COVAS JÚNIOR	4570	VILA ATLÂNTICA	MONGAGUA	SP	-24,1083496768	-46,6441321907	Via pública	31934
RUA JOAO DO CANTO E MELO	716	SAO RAFAEL	S.PAULO	SP	-23,6308307648	-46,464969635	Outros	5885
RUA BENTO OLIVEIRA GUIMARÃES	9	BANDEIRANTES I	GUARUJA	SP	-23,9513440265	-46,2853988776	Outros	3500
RUA ANGÉLICA	12	ALVES DIAS	S.BERNARDO DO CAMPO	SP	-23,7159695767	-46,5909691829	Via pública	12648
RUA PAUL VALERY	55	SANTO AMARO	S.PAULO	SP	-23,6318684491	-46,7096321677	Via pública	30666
RUA HERVAL	666	BELEM	S.PAULO	SP	-23,5408197549	-46,588902739	Outros	23735
RUA UM	237	JARDIM CIRANDA	ORLANDIA	SP	-20,7231075731	-47,8969471653	Comércio e serviços	32797
RUA SANTA TEREZINHA	30		S.PAULO	SP	-23,6053078925	-46,4712369696	Via pública	16733
Av. Paulista - Shopping Cidade São Paulo	1230	Bela Vista	S.PAULO	SP	-23,5641117406	-46,653389367	Outros	19886
AVENIDA ARMANDO ÍTALO SETI	60	CENTRO	S.BERNARDO DO CAMPO	SP	-23,6971493458	-46,5503356848	Via pública	9231
AVENIDA FLORESTAN FERNANDES	170	ANHANGUERA	S.PAULO	SP	-23,4446962179	-46,8010486474	Via pública	38219
RUA AMADOR BUENO	468	SANTO AMARO	S.PAULO	SP	-23,652740479	-46,712404487	Outros	31131
RUA FRANCISCO CABRINO	1011	JD. AMARO	ARTUR NOGUEIRA	SP	-22,5782439728	-47,1707895002	Via pública	4508
RUA JOAO DO CANTO E MELO	1	SAO RAFAEL	S.PAULO	SP	-23,627231103	-46,470779318	Via pública	19109
AVENIDA GABRIELA MISTRAL	1016		S.PAULO	SP	-23,5123987705	-46,5509260185	Outros	28699
RUA PROFESSSOR FLÁVIO WUSTEMBERG	0	CARLOS LOURENÇO	CAMPINAS	SP	-22,925331353	-47,016872064	Via pública	37313
RUA JOSE XAVIER GUIMARAES	0	RAPOSO TAVARES	S.PAULO	SP	-23,587989013	-46,766596842	Outros	1500
RUA MADRE SOFIA MARCHETTI	20	PARQUE DO CARMO	S.PAULO	SP	-23,5534058461	-46,4633329386	Outros	37722
AVENIDA CARLOS ALBERTO BASTOS MACHADO	18	GRAJAU	S.PAULO	SP	-23,7637368986	-46,696048417	Via pública	24211
RUA ARMANDO GIANINI	646	JARDIM VITORIA	ITATIBA	SP	-23,005850109	-46,819743156	Comércio e serviços	26591
RUA MANUEL CARDOSO	137	CIDADE LIDER	S.PAULO	SP	-23,5561814619	-46,4795771713	Via pública	16057
RUA INACIO DE OLIVEIRA CAMPOS	550	LAJEADO	S.PAULO	SP	-23,5455339627	-46,3932139852	Via pública	28000
RUA CHILE	121	JARDIM VENEZA II	MACATUBA	SP	-22,511233168	-48,7098591791	Via pública	20575
AVENIDA PAULO AFONSO	0	RESIDENCIAL BRAGUIM	S.BERNARDO DO CAMPO	SP	-23,707811885	-46,544447346	Outros	30641
RUA OSÓRIO JUNQUEIRA	700	CENTRO	CASTILHO	SP	-20,8719912978	-51,4887848498	Restaurante e afins	19287
RUA OLINTHO FRAGA MOREIRA	215	BRASILANDIA	S.PAULO	SP	-23,4696751469	-46,6918788914	Via pública	23658
AVENIDA PROFESSOR ALFONSO BOVERO	1140	PERDIZES	S.PAULO	SP	-23,5366795549	-46,6857182363	Outros	32360
ESTRADA DO M'BOI MIRIM	896	JD SÃO LUIS	S.PAULO	SP	-23,6709312601	-46,7401871052	Terminal/Estação	2068
RUA SAMUEL DAS NEVES	30	BELA VISTA	S.PAULO	SP	-23,5550361324	-46,6482713261	Via pública	6712
AVENIDA CAPITÃO JOÃO	3000	JARDIM GUAPITUBA	MAUA	SP	-23,6920654874	-46,4490160504	Via pública	1105
rua benfica	1086	vila medeiros	S.PAULO	SP	-23,4758405806	-46,5781656994	Outros	14281
RUA PEDRO CONSULIN	55	CENTRO	SUMARE	SP	-22,8237754404	-47,2682432436	Via pública	11989
Av.Paulista	1499	Bela Vista	S.PAULO	SP	-23,561936444	-46,655773895	Outros	25534
RUA PIMENTA BUENO	49	BELEM	S.PAULO	SP	-23,5374615522	-46,5880277731	Outros	20446
RUA DAS PROVINCIAS	0	PENHA	S.PAULO	SP	-23,517699171	-46,523033937	Via pública	34177
PRAÇA MONSENHOR QUÉRCIA	0	CENTRO	ARARAS	SP	-22,355223164	-47,395506606	Via pública	29157
RUA TAQUARUCU	161	JABAQUARA	S.PAULO	SP	-23,6397213274	-46,6491657918	Via pública	8938
ESTRADA DA RIVIERA	2183	JD SÃO LUIS	S.PAULO	SP	-23,693291182	-46,7543627812	Outros	29566
RUA DONÁ ANILA	1001	VL MARIGO	ITAPECERICA DA SERRA	SP	-23,7141577696	-46,8375518024	Outros	686
AVENIDA MARIA SERVIDEI DEMARCHE	673	DEMARCHI	S.BERNARDO DO CAMPO	SP	-23,7275902268	-46,5512447681	Comércio e serviços	9096
RUA DOUTOR ALFREDO DE CASTRO	0	BARRA FUNDA	S.PAULO	SP	-23,529468902	-46,665236625	Outros	38427
RUA SILVIA	91	BELA VISTA	S.PAULO	SP	-23,5591956708	-46,6507157776	Comércio e serviços	21819
RUA MANUEL BORBA	200	SANTO AMARO	S.PAULO	SP	-23,6519705193	-46,706030267	Via pública	11847
PRAÇA BARAO DE IBIROCAI	21	JAGUARA	S.PAULO	SP	-23,5093881215	-46,7489918058	Via pública	21692
RODOVIA DOM PEDRO	0		ITATIBA	SP	-23,0132068871	-46,8447891894	Via pública	830
RUA BEBEDOURO	32	PARQUE RESIDENCIAL NELSON CALIXTO	DIADEMA	SP	-23,6789518371	-46,62353192	Outros	11344
Avenida Das Nações Unidas	12771	Cidade Monções	S.PAULO	SP	-23,502827701	-46,735716867	Outros	30122
ESTAÇÃO TREM BRAS	0		S.PAULO	SP	-23,545101	-46,616237	Outros	445
RUA PADRE LUIS GONZAGA	100	GUAIANASES	S.PAULO	SP	-23,5443706512	-46,4191894531	Outros	38773
AVENIDA JOSE PINHEIRO BORGES	100	ITAQUERA	S.PAULO	SP	-23,539173214	-46,469811671	Via pública	32929
RUA JOÃO R. MANZANO	0		PENAPOLIS	SP	-21,4090800115	-50,0786025774	Restaurante e afins	22232
RUA ANTÔNIA DE SOUZA PEREIRA	759	TERMINAL INTERMODAL DE CARGAS	CAMPINAS	SP	-22,8427412197	-47,1534049537	Via pública	25935
RUA ÂNGELO MELANI	3079	RURAL	FRANCA	SP	-20,549732478	-47,388440141	Via pública	34803
RUA LOURENCO LOUREIRO	89	IGUATEMI	S.PAULO	SP	-23,6031719636	-46,4384412014	Via pública	919
AVENIDA SANTOS DUMONT	100	CENTRO	PERUIBE	SP	-24,319181493	-46,994962949	Via pública	12945
RUA DONA DOMITILA	35	PONTE RASA	S.PAULO	SP	-23,5112268557	-46,4837004659	Outros	3510
CAMINHO DA SERVIDÃO	245	RURAL	AMERICANA	SP	-22,729741338	-47,252680224	Lazer e recreação	17018
Rua Augusta	430	Consolação	S.PAULO	SP	-23,571353525	-46,644224041	Outros	17937
AVENIDA ALBERT EINSTEIN	440	MORUMBI	S.PAULO	SP	-23,597902385	-46,715178938	Via pública	23445
AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA ME	4411		S.PAULO	SP	-23,5837615961	-46,5507151754	Outros	5253
ESTRADA DOUTOR MIGUEL AFONSO FERREIRA DE	3600	VILA RODRIGUES	VOTORANTIM	SP	-23,5633700587	-47,4496056011	Estabelecimento industrial	7021
RUA JOAO LIMA DA SILVA	126	LAJEADO	S.PAULO	SP	-23,5278822814	-46,3917988167	Via pública	25732
RUA ESTANISLAU MONIUSKO	100	CIDADE ADEMAR	S.PAULO	SP	-23,676278233	-46,6601561149	Via pública	28026
